x_axis,desired_pos,actual_pos,error,actual_vel,commanded_torque
0.000000000000000000e+00,-4.980459999999999748e-02,-4.980459999999999748e-02,0.000000000000000000e+00,-8.491410000000000198e-07,4.245709999999999708e-05
1.000000000000000000e+00,-4.915619999999999712e-02,-4.980459999999999748e-02,6.484000000000003650e-04,-8.348629999999999763e-07,7.780559999999999699e-01
2.000000000000000000e+00,-4.847549999999999776e-02,-4.980459999999999748e-02,1.329099999999999726e-03,-8.205869999999999879e-07,1.594889999999999919e+00
3.000000000000000000e+00,-4.787509999999999682e-02,-4.980459999999999748e-02,1.929500000000000659e-03,-1.697909999999999935e-06,2.315399999999999903e+00
4.000000000000000000e+00,-4.723159999999999858e-02,-4.980459999999999748e-02,2.572999999999998899e-03,-2.931609999999999872e-06,3.087680000000000202e+00
5.000000000000000000e+00,-4.666359999999999952e-02,-4.980020000000000280e-02,3.136600000000003274e-03,8.791610000000000050e-03,3.324269999999999836e+00
6.000000000000000000e+00,-4.603809999999999847e-02,-4.975960000000000105e-02,3.721500000000002584e-03,8.105350000000000055e-02,4.131270000000000220e-01
7.000000000000000000e+00,-4.539470000000000310e-02,-4.964890000000000275e-02,4.254199999999999648e-03,2.215409999999999879e-01,-5.972059999999999924e+00
8.000000000000000000e+00,-4.478130000000000305e-02,-4.945660000000000334e-02,4.675300000000000289e-03,3.846240000000000214e-01,-1.052630000000000088e+01
9.000000000000000000e+00,-4.413799999999999668e-02,-4.927440000000000292e-02,5.136400000000006238e-03,3.643850000000000144e-01,-1.052630000000000088e+01
1.000000000000000000e+01,-4.352469999999999950e-02,-4.929109999999999742e-02,5.766399999999997916e-03,-3.340490000000000126e-02,8.589930000000000732e+00
1.100000000000000000e+01,-4.288390000000000257e-02,-4.968550000000000050e-02,6.801599999999997925e-03,-7.889110000000000289e-01,1.052630000000000088e+01
1.200000000000000000e+01,-4.226950000000000152e-02,-5.045729999999999660e-02,8.187799999999995082e-03,-1.543520000000000003e+00,1.052630000000000088e+01
1.300000000000000000e+01,-4.162760000000000071e-02,-5.090449999999999836e-02,9.276899999999997648e-03,-8.944459999999999633e-01,1.052630000000000088e+01
1.400000000000000000e+01,-4.093789999999999929e-02,-5.096250000000000085e-02,1.002460000000000157e-02,-1.159049999999999941e-01,1.052630000000000088e+01
1.500000000000000000e+01,-4.037170000000000342e-02,-5.063100000000000239e-02,1.025929999999999898e-02,6.629410000000000025e-01,-1.052630000000000088e+01
1.600000000000000000e+01,-3.968220000000000081e-02,-4.991040000000000060e-02,1.022819999999999979e-02,1.441249999999999920e+00,-1.052630000000000088e+01
1.700000000000000000e+01,-3.911730000000000068e-02,-4.880099999999999716e-02,9.683699999999996477e-03,2.218679999999999986e+00,-1.052630000000000088e+01
1.800000000000000000e+01,-3.842570000000000013e-02,-4.807249999999999718e-02,9.646799999999997044e-03,1.457009999999999916e+00,-1.052630000000000088e+01
1.900000000000000000e+01,-3.786219999999999863e-02,-4.772470000000000184e-02,9.862500000000003209e-03,6.957100000000000506e-01,-1.052630000000000088e+01
2.000000000000000000e+01,-3.724380000000000052e-02,-4.775730000000000253e-02,1.051350000000000201e-02,-6.524040000000000394e-02,1.052630000000000088e+01
2.100000000000000000e+01,-3.660279999999999784e-02,-4.817020000000000329e-02,1.156740000000000546e-02,-8.258450000000000513e-01,1.052630000000000088e+01
2.200000000000000000e+01,-3.599530000000000091e-02,-4.896319999999999839e-02,1.296789999999999748e-02,-1.586090000000000000e+00,1.052630000000000088e+01
2.300000000000000000e+01,-3.535579999999999973e-02,-4.936770000000000047e-02,1.401190000000000074e-02,-8.088170000000000082e-01,1.052630000000000088e+01
2.400000000000000000e+01,-3.474270000000000136e-02,-4.938329999999999803e-02,1.464059999999999667e-02,-3.133690000000000087e-02,1.052630000000000088e+01
