1.68321, 0.000417824, 0.80416, 0, 0, 0
0.847465, 0.40008, 0.000207873, -0.000413733, -0.00020004, -1.03936e-07
0.567089, 0.264517, 0.000137437, -0.000850723, -0.000411325, -2.13715e-07
0.4256, 0.196107, 0.000101893, -0.00130828, -0.000632555, -3.28662e-07
0.339716, 0.154583, 8.03178e-05, -0.00178349, -0.000862319, -4.48042e-07
0.281687, 0.126526, 6.574e-05, -0.00227327, -0.00109913, -5.71083e-07
0.239627, 0.10619, 5.51739e-05, -0.00277445, -0.00134145, -6.96986e-07
0.207598, 0.0907038, 4.71277e-05, -0.00328381, -0.00158772, -8.24945e-07
0.182305, 0.0784743, 4.07735e-05, -0.00379819, -0.00183642, -9.54165e-07
0.161771, 0.0685462, 3.56151e-05, -0.0043145, -0.00208606, -1.08387e-06
0.144741, 0.0603121, 3.13369e-05, -0.00482983, -0.00233522, -1.21333e-06
0.130377, 0.0533671, 2.77284e-05, -0.00534142, -0.00258258, -1.34185e-06
0.118098, 0.0474304, 2.46438e-05, -0.00584675, -0.0028269, -1.4688e-06
0.107489, 0.042301, 2.19787e-05, -0.00634354, -0.0030671, -1.5936e-06
0.0982434, 0.0378307, 1.9656e-05, -0.00682977, -0.00330219, -1.71575e-06
0.0901294, 0.0339076, 1.76176e-05, -0.00730368, -0.00353133, -1.8348e-06
0.0829681, 0.0304451, 1.58186e-05, -0.00776379, -0.0037538, -1.95039e-06
0.0766187, 0.0273752, 1.42235e-05, -0.00820888, -0.003969, -2.0622e-06
0.070968, 0.024643, 1.2804e-05, -0.00863797, -0.00417646, -2.17e-06
0.0659237, 0.0222041, 1.15368e-05, -0.00905031, -0.00437583, -2.27358e-06
0.0614096, 0.0200216, 1.04028e-05, -0.00944539, -0.00456685, -2.37283e-06
0.0573617, 0.0180644, 9.38587e-06, -0.00982287, -0.00474936, -2.46766e-06
0.0537259, 0.0163065, 8.4725e-06, -0.0101826, -0.0049233, -2.55804e-06
0.0504558, 0.0147254, 7.65099e-06, -0.0105246, -0.00508865, -2.64395e-06
