0.554896, 0.000798655, 0.486329, 0, 0, 0, 0.534896, 0.000798655, 0.486329
0.554896, 0.0445401, 0.442587, 0, -0.000218707, 0.000218707, 0.534896, 0.000798655, 0.486329
0.554896, 0.0225614, 0.464566, 0, -0.000348206, 0.000348206, 0.534896, 0.000798655, 0.486329
0.554896, 0.0143793, 0.472748, 0, -0.000469896, 0.000469896, 0.534896, 0.000798655, 0.486329
0.554896, 0.00999965, 0.477128, 0, -0.000581151, 0.000581151, 0.534896, 0.000798655, 0.486329
0.554896, 0.00726667, 0.479861, 0, -0.000679415, 0.000679415, 0.534896, 0.000798655, 0.486329
0.554896, 0.00542827, 0.481699, 0, -0.00076358, 0.00076358, 0.534896, 0.000798655, 0.486329
0.554896, 0.00414297, 0.482984, 0, -0.000833854, 0.000833854, 0.534896, 0.000798655, 0.486329
0.554896, 0.00322602, 0.483901, 0, -0.000891334, 0.000891334, 0.534896, 0.000798655, 0.486329
0.554896, 0.00256482, 0.484562, 0, -0.000937588, 0.000937588, 0.534896, 0.000798655, 0.486329
0.554896, 0.00208534, 0.485042, 0, -0.000974333, 0.000974333, 0.534896, 0.000798655, 0.486329
0.554896, 0.00173659, 0.485391, 0, -0.00100323, 0.00100323, 0.534896, 0.000798655, 0.486329
0.554896, 0.00148251, 0.485645, 0, -0.00102577, 0.00102577, 0.534896, 0.000798655, 0.486329
0.554896, 0.00129726, 0.48583, 0, -0.00104325, 0.00104325, 0.534896, 0.000798655, 0.486329
0.554896, 0.00116211, 0.485965, 0, -0.00105672, 0.00105672, 0.534896, 0.000798655, 0.486329
0.554896, 0.00106351, 0.486064, 0, -0.00106706, 0.00106706, 0.534896, 0.000798655, 0.486329
0.554896, 0.00099155, 0.486136, 0, -0.00107497, 0.00107497, 0.534896, 0.000798655, 0.486329
0.554896, 0.000939036, 0.486188, 0, -0.00108099, 0.00108099, 0.534896, 0.000798655, 0.486329
0.554896, 0.00090071, 0.486227, 0, -0.00108557, 0.00108557, 0.534896, 0.000798655, 0.486329
0.554896, 0.000872738, 0.486255, 0, -0.00108903, 0.00108903, 0.534896, 0.000798655, 0.486329
0.554896, 0.000852323, 0.486275, 0, -0.00109163, 0.00109163, 0.534896, 0.000798655, 0.486329
0.554896, 0.000837424, 0.48629, 0, -0.00109359, 0.00109359, 0.534896, 0.000798655, 0.486329
0.554896, 0.000826549, 0.486301, 0, -0.00109505, 0.00109505, 0.534896, 0.000798655, 0.486329
0.554896, 0.000818612, 0.486309, 0, -0.00109613, 0.00109613, 0.534896, 0.000798655, 0.486329
0.554896, 0.00081282, 0.486314, 0, -0.00109692, 0.00109692, 0.534896, 0.000798655, 0.486329
0.554896, 0.000808592, 0.486319, 0, -0.0010975, 0.0010975, 0.534896, 0.000798655, 0.486329
0.554896, 0.000805507, 0.486322, 0, -0.00109791, 0.00109791, 0.534896, 0.000798655, 0.486329
0.554896, 0.000803255, 0.486324, 0, -0.00109819, 0.00109819, 0.534896, 0.000798655, 0.486329
0.554896, 0.000801611, 0.486326, 0, -0.00109838, 0.00109838, 0.534896, 0.000798655, 0.486329
0.554896, 0.000800411, 0.486327, 0, -0.00109849, 0.00109849, 0.534896, 0.000798655, 0.486329
0.554896, 0.000799536, 0.486328, 0, -0.00109855, 0.00109855, 0.534896, 0.000798655, 0.486329
0.554896, 0.000798897, 0.486328, 0, -0.00109857, 0.00109857, 0.534896, 0.000798655, 0.486329
0.554896, 0.000798431, 0.486329, 0, -0.00109855, 0.00109855, 0.534896, 0.000798655, 0.486329
0.554896, 0.000798091, 0.486329, 0, -0.00109851, 0.00109851, 0.534896, 0.000798655, 0.486329
0.554896, 0.000797842, 0.486329, 0, -0.00109845, 0.00109845, 0.534896, 0.000798655, 0.486329
0.554896, 0.000797661, 0.48633, 0, -0.00109837, 0.00109837, 0.534896, 0.000798655, 0.486329
0.554896, 0.000797529, 0.48633, 0, -0.00109829, 0.00109829, 0.534896, 0.000798655, 0.486329
0.554896, 0.000797433, 0.48633, 0, -0.00109819, 0.00109819, 0.534896, 0.000798655, 0.486329
0.554896, 0.000797362, 0.48633, 0, -0.00109808, 0.00109808, 0.534896, 0.000798655, 0.486329
