left_x,left_y,left_z,right_x,right_y,right_z,left_roll,left_pitch,left_yaw,right_roll,right_pitch,right_yaw
5.413170000000000481e-01,2.135469999999999868e-01,2.075450000000000073e-01,5.413040000000000074e-01,-2.136250000000000093e-01,2.075549999999999895e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413170000000000481e-01,2.135469999999999868e-01,2.075450000000000073e-01,5.413040000000000074e-01,-2.136250000000000093e-01,2.075549999999999895e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413170000000000481e-01,2.135469999999999868e-01,2.075450000000000073e-01,5.413040000000000074e-01,-2.136250000000000093e-01,2.075549999999999895e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413170000000000481e-01,2.135469999999999868e-01,2.075460000000000083e-01,5.413040000000000074e-01,-2.136250000000000093e-01,2.075549999999999895e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413170000000000481e-01,2.135469999999999868e-01,2.075460000000000083e-01,5.413040000000000074e-01,-2.136250000000000093e-01,2.075539999999999885e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413170000000000481e-01,2.135469999999999868e-01,2.075460000000000083e-01,5.413040000000000074e-01,-2.136250000000000093e-01,2.075539999999999885e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413170000000000481e-01,2.135469999999999868e-01,2.075470000000000093e-01,5.413040000000000074e-01,-2.136250000000000093e-01,2.075529999999999875e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413170000000000481e-01,2.135469999999999868e-01,2.075480000000000103e-01,5.413040000000000074e-01,-2.136250000000000093e-01,2.075529999999999875e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413170000000000481e-01,2.135469999999999868e-01,2.075490000000000113e-01,5.413040000000000074e-01,-2.136250000000000093e-01,2.075519999999999865e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413170000000000481e-01,2.135469999999999868e-01,2.075490000000000113e-01,5.413040000000000074e-01,-2.136250000000000093e-01,2.075510000000000133e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413170000000000481e-01,2.135469999999999868e-01,2.075500000000000123e-01,5.413040000000000074e-01,-2.136250000000000093e-01,2.075500000000000123e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413170000000000481e-01,2.135469999999999868e-01,2.075519999999999865e-01,5.413040000000000074e-01,-2.136250000000000093e-01,2.075490000000000113e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413170000000000481e-01,2.135469999999999868e-01,2.075529999999999875e-01,5.413040000000000074e-01,-2.136250000000000093e-01,2.075480000000000103e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413170000000000481e-01,2.135469999999999868e-01,2.075539999999999885e-01,5.413040000000000074e-01,-2.136250000000000093e-01,2.075460000000000083e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413170000000000481e-01,2.135469999999999868e-01,2.075549999999999895e-01,5.413040000000000074e-01,-2.136250000000000093e-01,2.075450000000000073e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413170000000000481e-01,2.135469999999999868e-01,2.075569999999999915e-01,5.413040000000000074e-01,-2.136250000000000093e-01,2.075430000000000053e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413170000000000481e-01,2.135469999999999868e-01,2.075589999999999935e-01,5.413040000000000074e-01,-2.136250000000000093e-01,2.075420000000000043e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413170000000000481e-01,2.135469999999999868e-01,2.075599999999999945e-01,5.413040000000000074e-01,-2.136250000000000093e-01,2.075400000000000023e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
